measurement,clean_value,spurious_value
"QET Vacuum:zpe_entropy",0.954434002924965,0.954434002924965
"QET Vacuum:correlation_strength",0.8176401883484705,0.8176401883484705
"QET Vacuum:qet_decorrelation",0.08575223969549944,0.08575223969549944
"QET Vacuum:qet_success",1.0,1.0
"Auto Symmetry Discovery:reflection_sensitivity",1.0,1.0
"Auto Symmetry Discovery:shift_invariance",1.0,1.0
"Auto Symmetry Discovery:n_spurious_layers",2.0,2.0
"Auto Symmetry Discovery:n_probes",8.0,8.0
"Auto Symmetry Discovery:data_profile_mean",1.0,1.0
"Auto Symmetry Discovery:data_profile_std",1.0,1.0
"Auto Symmetry Discovery:max_divergence",1.0,1.0
"Lattice Phonons:n_dof",50.0,50.0
"Lattice Phonons:n_vacancies",0.0,0.0
"Lattice Phonons:exists",1.0,1.0
"Lattice Phonons:lattice_sites",25.0,25.0
"Structural Experiments:mlp_accuracy",0.0,0.0
"Structural Experiments:cnn_accuracy",0.000625,0.000625
"Structural Experiments:wdw_params_ratio",0.0005698005698005698,0.0005698005698005698
"Structural Experiments:wdw_vs_mlp_gap",0.0025,0.0025
"Structural Experiments:wdw_accuracy",0.0025,0.0025
"Computable Motives:rank_mod3",0.6666666666666666,0.6666666666666666
"Computable Motives:max_motivic_feat",0.1,0.1
"Computable Motives:motivic_dim",4.0,4.0
"Computable Motives:betti0",0.03125,0.03125
"Computable Motives:rank_mod5",1.0,1.0
"Time ITE:monotone",1.0,1.0
"Time ITE:energy_drop",0.2444420128861566,0.2444420128861566
"Time ITE:final_energy",0.7555579871138434,0.7555579871138434
"Time ITE:n_steps",21.0,21.0
"Quantum Group:dimension",32.0,32.0
"Quantum Group:n_perms",64.0,64.0
"Krylov Complexity:offdiag_ratio",0.32042702231413106,0.32042702231413106
"Krylov Complexity:krylov_complexity",0.4853384805054394,0.4853384805054394
"Krylov Complexity:krylov_dim",10.0,10.0
"Topological Functors:closure_extensive",1.0,1.0
"Topological Functors:interior_idempotent",1.0,1.0
"Topological Functors:heyting_imply_top",1.0,1.0
"Topological Functors:interior_contractive",1.0,1.0
"Rupture ABC:criterion_B",1.0,1.0
"Rupture ABC:s_score",0.9540093150447774,0.9540093150447774
"Rupture ABC:criterion_C",1.0,1.0
"Rupture ABC:criterion_A",1.0,1.0
"Rupture ABC:full_rupture",1.0,1.0
"Tensor MERA:levels",5.0,5.0
"Tensor MERA:kept_levels",4.0,4.0
"Tensor MERA:compression_improvement",0.9991034128432011,0.9991034128432011
"Tensor MERA:optimized_error",0.00037935383377204443,0.00037935383377204443
"Tensor MERA:haar_compression_error",0.4231087082782295,0.4231087082782295
"FFT Bispectrum Profile:probe_6",2.769858721906924,2.769858721906924
"FFT Bispectrum Profile:probe_7",2.819773636361948,2.819773636361948
"FFT Bispectrum Profile:probe_1",1.0590847458732426e-15,1.0590847458732426e-15
"FFT Bispectrum Profile:data_profile_std",1.4511452550827444,1.4511452550827444
"FFT Bispectrum Profile:max_divergence",2.8215136582520537,2.8215136582520537
"FFT Bispectrum Profile:probe_8",2.8215136582520537,2.8215136582520537
"FFT Bispectrum Profile:probe_3",0.0,0.0
"FFT Bispectrum Profile:reflection_sensitivity",2.769858721906924,2.769858721906924
"FFT Bispectrum Profile:probe_5",1.174379696253384e-15,1.174379696253384e-15
"FFT Bispectrum Profile:n_probes",8.0,8.0
"FFT Bispectrum Profile:probe_2",7.283497961290931e-16,7.283497961290931e-16
"FFT Bispectrum Profile:shift_invariance",1.0,1.0
"FFT Bispectrum Profile:data_profile_mean",1.0513932520651161,1.0513932520651161
"FFT Bispectrum Profile:probe_4",7.283497961290931e-16,7.283497961290931e-16
"Scalable WDW:dimension",32.0,32.0
"Rigorous Metrics:mdl_bits",0.0796966470782027,0.0796966470782027
"Rigorous Metrics:non_vacuous",0.0,0.0
"Rigorous Metrics:n_params",484.0,484.0
"Rigorous Metrics:pac_bayes_bound",1.0,1.0
"Rigorous Metrics:generalization_ratio",10.0,10.0
"Real World Applications:dimension",32.0,32.0
